ref;Number;Cation;Molar mass
AB.1;AB.1;AB.1;-
AB.2;AB.2;AB.2;-
AB.3;AB.3;AB.3;-
AB.4;AB.4;AB.4;-
AB.5;AB.5;AB.5;-
AB.6;AB.6;AB.6;-
AB.7;AB.7;AB.7;-
AB.8;AB.8;AB.8;-
AB.9;AB.9;AB.9;-
AB.10;AB.10;AB.10;-
AB.11;AB.11;AB.11;-
AB.12;AB.12;AB.12;-
AB.13;AB.13;AB.13;-
AB.14;AB.14;AB.14;-
AB.15;AB.15;AB.15;-
AB.16;AB.16;AB.16;-
AB.17;AB.17;AB.17;-
AB.18;AB.18;AB.18;-
AB.19;AB.19;AB.19;-
AB.20;AB.20;AB.20;-
AB.21;AB.21;AB.21;-
AB.22;AB.22;AB.22;-
AB.23;AB.23;AB.23;-
AB.24;AB.24;AB.24;-
AB.25;AB.25;AB.25;-
AB.26;AB.26;AB.26;-
AB.27;AB.27;AB.27;-
AB.28;AB.28;AB.28;-
AB.29;AB.29;AB.29;-
AB.30;AB.30;AB.30;-
AB.31;AB.31;AB.31;-
AB.32;AB.32;AB.32;-
AB.33;AB.33;AB.33;-
AB.34;AB.34;AB.34;400.15
AB.35;AB.35;AB.35;414.15
AB.36;AB.36;AB.36;428.15
AB.37;AB.37;AB.37;442.15
AB.38;AB.38;AB.38;456.15
AB.39;AB.39;AB.39;484.15
AB.40;AB.40;AB.40;512.15
AB.41;AB.41;AB.41;646.08
AB.42;AB.42;AB.42;674.08
AB.43;AB.43;AB.43;702.08
AB.44;AB.44;AB.44;730.08
AB.45;AB.45;AB.45;758.08
AB.46;AB.46;AB.46;814.08
AB.47;AB.47;AB.47;870.08
AB.48;AB.48;AB.48;701.16
AB.49;AB.49;AB.49;729.16
AB.50;AB.50;AB.50;757.16
AB.51;AB.51;AB.51;785.16
AB.52;AB.52;AB.52;813.16
AB.53;AB.53;AB.53;869.16
AB.54;AB.54;AB.54;925.16
AB.55;AB.55;AB.55;980.17
AB.56;AB.56;AB.56;1022.17
AB.57;AB.57;AB.57;1064.17
AB.58;AB.58;AB.58;1106.17
AB.59;AB.59;AB.59;1148.17
AB.60;AB.60;AB.60;1232.17
AB.61;AB.61;AB.61;1316.17
AB.62;AB.62;AB.62;1067.29
AB.63;AB.63;AB.63;1109.29
AB.64;AB.64;AB.64;1151.29
AB.65;AB.65;AB.65;1193.29
AB.66;AB.66;AB.66;1235.29
AB.67;AB.67;AB.67;1319.29
AB.68;AB.68;AB.68;1403.29
AB.69;AB.69;AB.69;-
AB.70;AB.70;AB.70;-
AB.71;AB.71;AB.71;-
AB.72;AB.72;AB.72;-
AB.73;AB.73;AB.73;-
AB.74;AB.74;AB.74;-
AB.75;AB.75;AB.75;-
AB.76;AB.76;AB.76;-
AB.77;AB.77;AB.77;-
AB.78;AB.78;AB.78;-
AB.79;AB.79;AB.79;-
AB.80;AB.80;AB.80;-
AB.81;AB.81;AB.81;-
AB.82;AB.82;AB.82;-
AB.83;AB.83;AB.83;-
AB.84;AB.84;AB.84;-
AB.85;AB.85;AB.85;-
AB.86;AB.86;AB.86;-
AB.87;AB.87;AB.87;-
AB.88;AB.88;AB.88;-
AB.89;AB.89;AB.89;-
AB.90;AB.90;AB.90;-
AB.91;AB.91;AB.91;-
AB.92;AB.92;AB.92;-
AB.93;AB.93;AB.93;-
AB.94;AB.94;AB.94;598.67
AB.95;AB.95;AB.95;612.7
AB.96;AB.96;AB.96;626.73
AB.97;AB.97;AB.97;626.73
AB.98;AB.98;AB.98;654.79
AB.99;AB.99;AB.99;682.85
AB.100;AB.100;AB.100;619.01
AB.101;AB.101;AB.101;647.07
AB.102;AB.102;AB.102;675.12
AB.103;AB.103;AB.103;653.46
AB.104;AB.104;AB.104;681.52
AB.105;AB.105;AB.105;709.57
AB.106;AB.106;AB.106;633.04
AB.107;AB.107;AB.107;661.1
AB.108;AB.108;AB.108;689.15
AB.109;AB.109;AB.109;647.07
AB.110;AB.110;AB.110;675.13
AB.111;AB.111;AB.111;703.18
AB.112;AB.112;AB.112;624.42
AB.113;AB.113;AB.113;652.48
AB.114;AB.114;AB.114;680.53
AB.115;AB.115;AB.115;513.33
AB.116;AB.116;AB.116;541.39
AB.117;AB.117;AB.117;569.44
AB.118;AB.118;AB.118;252.27
AB.119;AB.119;AB.119;250.14
AB.120;AB.120;AB.120;266.14
AB.121;AB.121;AB.121;280.15
AB.122;AB.122;AB.122;310.16
