ref;Number;Anion;Cation;Antimicrobial
AB.1;AB.1;AB.1;AB.1;"E.coli:400;P.aeruginosa:400;S.typhimurium:>400;S.aureus:200;B.subtilis:200;M.luteus:400;C.albicans:>400;S.cerevisiae:>400;T.mentagrophytes:>400;M.gypseum:400;P.chrysogenum:>400;A.niger:>400;MIC(ug/mL)"
AB.2;AB.2;AB.2;AB.2;"E.coli:200;P.aeruginosa:200;S.typhimurium:400;S.aureus:5;B.subtilis:10;M.luteus:25;C.albicans:400;S.cerevisiae:400;T.mentagrophytes:100;M.gypseum:25;P.chrysogenum:400;A.niger:>400;MIC(ug/mL)"
AB.3;AB.3;AB.3;AB.3;"E.coli:200;P.aeruginosa:>200;S.typhimurium:>200;S.aureus:100;B.subtilis:50;M.luteus:100;C.albicans:>200;S.cerevisiae:>200;T.mentagrophytes:>200;M.gypseum:100;P.chrysogenum:>200;A.niger:>200;MIC(ug/mL)"
AB.4;AB.4;AB.4;AB.4;"E.coli:200;P.aeruginosa:>400;S.typhimurium:>400;S.aureus:100;B.subtilis:100;M.luteus:100;C.albicans:>400;S.cerevisiae:>400;T.mentagrophytes:200;M.gypseum:400;P.chrysogenum:>400;A.niger:>400;MIC(ug/mL)"
AB.5;AB.5;AB.5;AB.5;"E.coli:10;P.aeruginosa:100;S.typhimurium:200;S.aureus:2.5;B.subtilis:2.5;M.luteus:5;C.albicans:>400;S.cerevisiae:400;T.mentagrophytes:50;M.gypseum:10;P.chrysogenum:200;A.niger:>400;MIC(ug/mL)"
AB.6;AB.6;AB.6;AB.6;"E.coli:>400;P.aeruginosa:>400;S.typhimurium:>400;S.aureus:2.5;B.subtilis:5;M.luteus:2.5;C.albicans:400;S.cerevisiae:400;T.mentagrophytes:400;M.gypseum:5;P.chrysogenum:100;A.niger:>400;MIC(ug/mL)"
AB.7;AB.7;AB.7;AB.7;"E.coli:25;P.aeruginosa:400;S.typhimurium:100;S.aureus:25;B.subtilis:10;M.luteus:50;C.albicans:400;S.cerevisiae:400;T.mentagrophytes:50;M.gypseum:25;P.chrysogenum:400;A.niger:400;MIC(ug/mL)"
AB.8;AB.8;AB.8;AB.8;"E.coli:10;P.aeruginosa:200;S.typhimurium:100;S.aureus:5;B.subtilis:5;M.luteus:5;C.albicans:400;S.cerevisiae:>400;T.mentagrophytes:200;M.gypseum:400;P.chrysogenum:>400;A.niger:>400;MIC(ug/mL)"
AB.9;AB.9;AB.9;AB.9;"E.coli:512;S.aureus:512;MIC(ug/mL)"
AB.10;AB.10;AB.10;AB.10;"E.coli:128;S.aureus:64;MIC(ug/mL)"
AB.11;AB.11;AB.11;AB.11;"E.coli:256;S.aureus:128;MIC(ug/mL)"
AB.12;AB.12;AB.12;AB.12;"E.coli:512;S.aureus:512;MIC(ug/mL)"
AB.13;AB.13;AB.13;AB.13;"E.coli:256;S.aureus:128;MIC(ug/mL)"
AB.14;AB.14;AB.14;AB.14;"E.coli:256;S.aureus:256;MIC(ug/mL)"
AB.15;AB.15;AB.15;AB.15;"E.coli:256;S.aureus:256;MIC(ug/mL)"
AB.16;AB.16;AB.16;AB.16;"E.coli:64;S.aureus:32;MIC(ug/mL)"
AB.17;AB.17;AB.17;AB.17;"E.coli:128;S.aureus:64;MIC(ug/mL)"
AB.18;AB.18;AB.18;AB.18;"E.coli:>512;S.marcescens:>512;S.aureus:>512;B.subtilis:256;R.rubra:>512;MIC(ug/mL)"
AB.19;AB.19;AB.19;AB.19;"E.coli:>512;S.marcescens:>512;S.aureus:>512;B.subtilis:256;R.rubra:>512;MIC(ug/mL)"
AB.20;AB.20;AB.20;AB.20;"E.coli:>512;S.marcescens:>512;S.aureus:>512;B.subtilis:256;R.rubra:>512;MIC(ug/mL)"
AB.21;AB.21;AB.21;AB.21;"E.coli:>512;S.marcescens:>512;S.aureus:512;B.subtilis:256;R.rubra:>512;MIC(ug/mL)"
AB.22;AB.22;AB.22;AB.22;"E.coli:>512;S.marcescens:>512;S.aureus:>512;B.subtilis:>256;R.rubra:>512;MIC(ug/mL)"
AB.23;AB.23;AB.23;AB.23;"E.coli:>512;S.marcescens:>512;S.aureus:512;B.subtilis:256;R.rubra:>512;MIC(ug/mL)"
AB.24;AB.24;AB.24;AB.24;"E.coli:>512;S.marcescens:>512;S.aureus:>512;B.subtilis:128;R.rubra:>512;MIC(ug/mL)"
AB.25;AB.25;AB.25;AB.25;"E.coli:>512;S.marcescens:>512;S.aureus:512;B.subtilis:256;R.rubra:>512;MIC(ug/mL)"
AB.26;AB.26;AB.26;AB.26;"E.coli:>512;S.marcescens:>512;S.aureus:>512;B.subtilis:>512;R.rubra:>512;MIC(ug/mL)"
AB.27;AB.27;AB.27;AB.27;"E.coli:>512;S.marcescens:>512;S.aureus:256;B.subtilis:512;R.rubra:>512;MIC(ug/mL)"
AB.28;AB.28;AB.28;AB.28;"E.coli:>512;S.marcescens:>512;S.aureus:256;B.subtilis:256;R.rubra:>512;MIC(ug/mL)"
AB.29;AB.29;AB.29;AB.29;"E.coli:>512;S.marcescens:>512;S.aureus:256;B.subtilis:256;R.rubra:>512;MIC(ug/mL)"
AB.30;AB.30;AB.30;AB.30;"E.coli:>512;S.marcescens:>512;S.aureus:256;B.subtilis:256;R.rubra:>512;MIC(ug/mL)"
AB.31;AB.31;AB.31;AB.31;"E.coli:>512;S.marcescens:>512;S.aureus:256;B.subtilis:256;R.rubra:>512;MIC(ug/mL)"
AB.32;AB.32;AB.32;AB.32;"E.coli:>512;S.marcescens:>512;S.aureus:>512;B.subtilis:512;R.rubra:>512;MIC(ug/mL)"
AB.33;AB.33;AB.33;AB.33;"E.coli:>512;S.marcescens:>512;S.aureus:>512;B.subtilis:>512;R.rubra:>512;MIC(ug/mL)"
AB.34;AB.34;AB.34;AB.34;"E.coli:>250;P.aeruginosa:>250;S.aureus:>250;S.aureus(USA300-0114):>250;S.aureus(ATCC33592):>250;E.faecalis:>250;MIC(uM)"
AB.35;AB.35;AB.35;AB.35;"E.coli:>250;P.aeruginosa:>250;S.aureus:>250;S.aureus(USA300-0114):>250;S.aureus(ATCC33592):>250;E.faecalis:>250;MIC(uM)"
AB.36;AB.36;AB.36;AB.36;"E.coli:250;P.aeruginosa:>250;S.aureus:125;S.aureus(USA300-0114):250;S.aureus(ATCC33592):125;E.faecalis:250;MIC(uM)"
AB.37;AB.37;AB.37;AB.37;"E.coli:125;P.aeruginosa:>250;S.aureus:32;S.aureus(USA300-0114):32;S.aureus(ATCC33592):63;E.faecalis:125;MIC(uM)"
AB.38;AB.38;AB.38;AB.38;"E.coli:63;P.aeruginosa:>250;S.aureus:32;S.aureus(USA300-0114):16;S.aureus(ATCC33592):32;E.faecalis:32;MIC(uM)"
AB.39;AB.39;AB.39;AB.39;"E.coli:16;P.aeruginosa:63;S.aureus:2;S.aureus(USA300-0114):2;S.aureus(ATCC33592):2;E.faecalis:4;MIC(uM)"
AB.40;AB.40;AB.40;AB.40;"E.coli:8;P.aeruginosa:>250;S.aureus:1;S.aureus(USA300-0114):2;S.aureus(ATCC33592):1;E.faecalis:4;MIC(uM)"
AB.41;AB.41;AB.41;AB.41;"E.coli:>250;P.aeruginosa:>250;S.aureus:>250;S.aureus(USA300-0114):250;S.aureus(ATCC33592):>250;E.faecalis:>250;MIC(uM)"
AB.42;AB.42;AB.42;AB.42;"E.coli:>250;P.aeruginosa:>250;S.aureus:250;S.aureus(USA300-0114):125;S.aureus(ATCC33592):250;E.faecalis:>250;MIC(uM)"
AB.43;AB.43;AB.43;AB.43;"E.coli:63;P.aeruginosa:125;S.aureus:32;S.aureus(USA300-0114):16;S.aureus(ATCC33592):32;E.faecalis:63;MIC(uM)"
AB.44;AB.44;AB.44;AB.44;"E.coli:16;P.aeruginosa:32;S.aureus:2;S.aureus(USA300-0114):4;S.aureus(ATCC33592):8;E.faecalis:16;MIC(uM)"
AB.45;AB.45;AB.45;AB.45;"E.coli:8;P.aeruginosa:32;S.aureus:4;S.aureus(USA300-0114):8;S.aureus(ATCC33592):8;E.faecalis:16;MIC(uM)"
AB.46;AB.46;AB.46;AB.46;"E.coli:63;P.aeruginosa:125;S.aureus:16;S.aureus(USA300-0114):16;S.aureus(ATCC33592):32;E.faecalis:32;MIC(uM)"
AB.47;AB.47;AB.47;AB.47;"E.coli:250;P.aeruginosa:>250;S.aureus:16;S.aureus(USA300-0114):16;S.aureus(ATCC33592):32;E.faecalis:32;MIC(uM)"
AB.48;AB.48;AB.48;AB.48;"E.coli:>250;P.aeruginosa:>250;S.aureus:>250;S.aureus(USA300-0114):>250;S.aureus(ATCC33592):>250;E.faecalis:>250;MIC(uM)"
AB.49;AB.49;AB.49;AB.49;"E.coli:>250;P.aeruginosa:>250;S.aureus:>250;S.aureus(USA300-0114):250;S.aureus(ATCC33592):>250;E.faecalis:>250;MIC(uM)"
AB.50;AB.50;AB.50;AB.50;"E.coli:250;P.aeruginosa:>250;S.aureus:>250;S.aureus(USA300-0114):32;S.aureus(ATCC33592):63;E.faecalis:63;MIC(uM)"
AB.51;AB.51;AB.51;AB.51;"E.coli:16;P.aeruginosa:125;S.aureus:4;S.aureus(USA300-0114):4;S.aureus(ATCC33592):4;E.faecalis:8;MIC(uM)"
AB.52;AB.52;AB.52;AB.52;"E.coli:2;P.aeruginosa:16;S.aureus:2;S.aureus(USA300-0114):2;S.aureus(ATCC33592):2;E.faecalis:4;MIC(uM)"
AB.53;AB.53;AB.53;AB.53;"E.coli:16;P.aeruginosa:32;S.aureus:8;S.aureus(USA300-0114):8;S.aureus(ATCC33592):8;E.faecalis:32;MIC(uM)"
AB.54;AB.54;AB.54;AB.54;"E.coli:>250;P.aeruginosa:>250;S.aureus:>250;S.aureus(USA300-0114):250;S.aureus(ATCC33592):>250;E.faecalis:>250;MIC(uM)"
AB.55;AB.55;AB.55;AB.55;"E.coli:>250;P.aeruginosa:>250;S.aureus:250;S.aureus(USA300-0114):125;S.aureus(ATCC33592):250;E.faecalis:250;MIC(uM)"
AB.56;AB.56;AB.56;AB.56;"E.coli:125;P.aeruginosa:125;S.aureus:32;S.aureus(USA300-0114):16;S.aureus(ATCC33592):32;E.faecalis:32;MIC(uM)"
AB.57;AB.57;AB.57;AB.57;"E.coli:16;P.aeruginosa:32;S.aureus:8;S.aureus(USA300-0114):8;S.aureus(ATCC33592):8;E.faecalis:16;MIC(uM)"
AB.58;AB.58;AB.58;AB.58;"E.coli:8;P.aeruginosa:32;S.aureus:4;S.aureus(USA300-0114):8;S.aureus(ATCC33592):8;E.faecalis:16;MIC(uM)"
AB.59;AB.59;AB.59;AB.59;"E.coli:8;P.aeruginosa:16;S.aureus:4;S.aureus(USA300-0114):4;S.aureus(ATCC33592):4;E.faecalis:8;MIC(uM)"
AB.60;AB.60;AB.60;AB.60;"E.coli:8;P.aeruginosa:16;S.aureus:4;S.aureus(USA300-0114):8;S.aureus(ATCC33592):8;E.faecalis:8;MIC(uM)"
